German,Vietnam
Der Bahnhof,nhà ga
Der Flughafen,sân Bay
Die S-Bahn,tàu điện ngầm
Das Taxi,taxi
Der Bus,xe buýt
Der Zug,tàu
Die Straßenbahn,tàu điện đi trên mặt đất
Die U-Bahn,tàu điện ngầm
Das Flugzeug,máy bay
Das Gleis,đường ray 
Der Bahnsteig,bến tàu
Der Koffer,vali 
Die Tasche,túi
Das Gepäck,hành lí
Die Haltestelle,điểm dừng xe buýt
Trennbare Verben,động từ tách
Aussteigen,xuống
Umsteigen,chuyển tàu
Anrufen,gọi điện
Ankommen,đến
Fernsehen,xem TV
Abfahren,khởi hành
Abholen,đón
Einkaufen,mua sắm
Einsteigen,lên 1 phương tiện giao thông
